,Unnamed: 0,question_and_options,answer,difficulty
93,93,<div><p>In which one of the following States is Pakhui Wildlife Sanctuary located?</p><p>(a) Arunachal Pradesh</p><p>(b) Manipur</p><p>(c) Meghalaya</p><p>(d) Nagaland</p></div>,a,Medium
94,94,"<div><p><strong> </strong>With reference to India's satellite launch vehicles, consider the following statements:</p><ol><li>PSLVs launch the satellite useful for Earth resources monitoring whereas GSLVs are designed mainly to launch communication satellites.</li><li>Satellites launched by PSLV appear to remain permanently fixed in the same position in the sky, as viewed from a particular location in Earth.</li><li>GSLV Mk III is a four-staged launch vehicle with the first and third stages using solid rocket motors; and the second and fourth stages using liquid rocket engines.</li></ol><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 and 3</p><p>(c) 1 and 2</p><p>(d) 3 only</p></div>",a,Medium
95,95,"<div><p><strong> </strong>With reference to the governance of public sector banking in India, consider the following statements:</p><ol><li>Capital infusion into public sector banks by the Government of India has steadily increased in the last decade.</li><li>To put the public sector banks in order, the merger of associate banks with the parent State Bank of India has been affected.</li></ol><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",b,Medium
96,96,"<div><p><strong> </strong>Consider the following items:</p><ol><li>Cereals grains hulled</li><li>Chicken eggs cooked</li><li>Fish processed and canned</li><li>Newspapers containing advertising material</li></ol><p>Which of the above items is/are exempted under GST (Goods and Services Tax)?</p><p>(a) 1 only</p><p>(b) 2 and 3 only</p><p>(c) 1, 2 and 4 only</p><p>(d) 1, 2, 3 and 4</p></div>",c,Medium
97,97,"<div><p><strong> </strong>Consider the following statements:</p><ol><li>The definition of ""Critical Wildlife Habitat"" is incorporated in the Forest Rights Act, 2006.</li><li>For the first time in India, Baigas have been given Habitat Rights.</li><li>Union Ministry of Environment, Forest and Climate Change officially decides and declares Habitat Rights for Primitive and Vulnerable Tribal Groups in any part of India.</li></ol><p>Which of the statements given above is/are correct?</p><p>(a) 1 and 2 only</p><p>(b) 2 and 3 only</p><p>(c) 3 only</p><p>(d) 1, 2 and 3</p></div>",a,Medium
98,98,"<div><p><strong> </strong>Consider the following</p><ol><li>Birds</li><li>Dust blowing</li><li>Rain</li><li>Wind blowing</li></ol><p>Which of the above spread plant diseases?</p><p>(a) 1 and 3 only</p><p>(b) 3 and 4 only</p><p>(c) 1, 2 and 4 only</p><p>(d) 1, 2, 3 and 4</p></div>",d,Medium
99,99,"<div><p><strong> </strong>With reference to organic farming in India, consider the following statements:</p><ol><li>'The National Programme for Organic Production' (NPOP) is operated under the guidelines and directions of the Union Ministry of Rural Development.</li><li>'The Agricultural and Processed Food Products Export Development Authority' (APEDA) functions as the Secretariat for the implementation of NPOP.</li><li>Sikkim has become India's first fully organic State.</li></ol><p>Which of the statements given above is/are correct?</p><p>(a) 1 and 2 only</p><p>(b) 2 and 3 only</p><p>(c) 3 only</p><p>(d) 1, 2 and 3</p></div>",b,Difficult
0,0,"<div><p>With reference to Asian Infrastructure Investment Bank (AIIB), consider the following statements:</p><p>1. AIIB has more than 80 member nations.</p><p>2. India is the largest shareholder in AIIB.</p><p>3. AIIB does not have any members from outside Asia.</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 and 3 only</p><p>(c) 1 and 3 only</p><p>(d) 1, 2 and 3</p></div>",a,Easy
1,1,<div><p>What was the purpose of Inter-Creditor Agreement signed by Indian banks and financial institutions recently?</p><p>(a) To lessen the Government of India’s perennial burden of fiscal deficit and current account deficit.</p><p>(b) To support the infrastructure projects of Central and State Governments</p><p>(c) To act as independent regulator in case of application for loans of Rs. 50 core or more</p><p>(d) To aim at faster resolution of stressed assets of Rs. 50 crore or more which are under consortium lending</p></div>,d,Medium
2,2,<div><p>The Chairman of public sector banks are selected by the</p><p>(a) Banks Board Bureau</p><p>(b) Reserve Bank of India</p><p>(c) Union Ministry of Finance</p><p>(d) Management of concerned bank</p></div>,a,Easy
3,3,"<div><p>Consider the following statements:</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Petroleum and Natural Gas Regulatory Board (PNGRB) is the first regulatory body set up by the Government of India.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; One of the tasks of PNGRB is to ensure competitive markets for gas.</p><p>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Appeals against the decisions of PNGRB go before the Appellate Tribunals for Electricity.</p><p>Which of the statements given above are correct?</p><p>(a) 1 and 2 only</p><p>(b) 2 and 3 only</p><p>(c) 1 and 3 only</p><p>(d) 1, 2 and 3</p></div>",b,Medium
4,4,"<div><p>With reference to communications technologies, what is/are the difference/differences between LTE (Long-Term Evolution) and VoLTE (Voice over Long-Term Evolution)?</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; LTE is commonly marketed as 3G and VoLTE is commonly marketed as advanced 3G.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; LTE is data-only technology and VoLTE is voice-only technology.</p><p>Select the correct answer using the code given below.</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",d,Medium
5,5,"<div><p>Which of the following statements is/are correct regarding the Maternity Benefit Amendment Act, 2017?</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Pregnant women are entitled for three months pre-delivery and three months post-delivery paid leave.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Enterprises with creches must allow the mother minimum six creche visits daily.</p><p>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Women with two children get reduced entitlements.</p><p>Select the correct answer using the code given below.</p><p>(a) 1 and 2 only</p><p>(b) 2 only</p><p>(c) 3 only</p><p>(d) 1, 2 and 3</p></div>",c,Medium
6,6,<div><p>Which one of the following is not a sub-index of the World Bank’s ‘Ease of Doing Business Index’?</p><p>(a) Maintenance of law and order</p><p>(b) Paying taxes</p><p>(c) Registering property</p><p>(d) Dealing with construction permits</p></div>,a,Medium
7,7,"<div><p>In India, ‘extended producer responsibility’ was introduced as an important feature in which of the following?</p><p>(a) The Bio-medical Waste (Management and Handling) Rules, 1998</p><p>(b) The Recycled Plastic (Manufacturing and Usage) Rules, 1999</p><p>(c) The e-Waste (Management and Handling) Rules, 2011</p><p>(d) The Food Safety and Standard Regulations, 2011</p></div>",c,Difficult
8,8,<div><p>The economic cost of food grains to the Food Corporation of India is Minimum Support Price and bonus (if any) paid to the farmers plus </p><p>(a) transportation cost only</p><p>(b) interest cost only</p><p>(c) procurement incidentals and distribution cost</p><p>(d) procurement incidentals and charges for godowns</p></div>,c,Medium
9,9,"<div><p>In the context of any country, which one of the following would be considered as part of its social capital?</p><p>(a) The proportion of literates in the population</p><p>(b) The stock of its buildings, other infrastructure and machines</p><p>(c) The size of population in the working are group</p><p>(d) The level of mutual trust and harmony in the society</p></div>",d,Easy
10,10,<div><p>The Service Area Approach was implemented under the purview of </p><p>(a) Integrated Rural Development Programme</p><p>(b) Lead Bank Scheme</p><p>(c) Mahatma Gandhi National Rural Employment Guarantee Scheme</p><p>(d) National Skill Development Mission</p></div>,b,Medium
11,11,"<div><p>With reference to the management of minor minerals in India, consider the following statements:</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sand is a ‘minor mineral’ according to the prevailing law in the country.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; State Governments have the power to grant mining leases of minor minerals, but the powers regarding the formation of rules related to the grant of minor minerals lie with the Central Government.</p><p>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; State Government have the power to frame rules to prevent illegal mining of minor minerals.</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 and 3 only</p><p>(b) 2 and 3 only</p><p>(c) 3 only</p><p>(d) 1, 2 and 3</p></div>",a,Difficult
12,12,<div><p>Consider the following statements:</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Most of India’s external debt is owed by governmental entities.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; All of India’s external debt is denominated in US dollars.</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>,d,Medium
13,13,<div><p>Which of the following is <em><strong>not</strong></em> included in the assets of a commercial bank in India?</p><p>(a) Advances</p><p>(b) Deposits</p><p>(c) Investments</p><p>(d) Money at call and short notice</p></div>,b,Difficult
14,14,"<div><p>In the context of India, which of the following factors is/are contributor/ contributors to reducing the risk of a currency crisis?</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; The foreign currency earnings of India’s IT sector</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Increasing the government expenditure</p><p>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Remittances from Indians abroad</p><p>Select the correct answer using the code given below.&nbsp;</p><p>(a) 1 only</p><p>(b) 1 and 3 only</p><p>(c) 2 only</p><p>(d) 1, 2 and 3</p></div>",b,Medium
15,15,<div><p>Which one of the following suggested that the Governor should be an imminent person from outside the State and should be a detached figure without intense political links or should not have taken part in politics in the recent past?</p><p>(a) First Administrative Reforms Commission (1966)</p><p>(b) Rajamannar Committee (1969)</p><p>(c) Sarkaria Commission (1983)</p><p>(d) National Commission to Review the Working of the Constitution (2000)</p></div>,c,Easy
16,16,<div><p>Which of the following is issued by registered foreign portfolio investors to overseas investors who want to be part of Indian stock market without registering themselves directly?</p><p>(a) Certificate of Deposits</p><p>(b) Commercial Paper</p><p>(c) Promissory Note</p><p>(d) Participatory Note</p></div>,d,Easy
17,17,"<div><p>Consider the following statements:</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; As per law, the Compensatory Afforestation Fund Management and Planning Authority exists at both National and State levels.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; People’s participation is mandatory in the compensatory afforestation programmes carried out under the Compensatory Afforestation Fund Act, 2016.</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",a,Difficult
18,18,"<div><p>In India, which of the following review the independent regulators in sectors like telecommunications, insurance electricity, etc.?</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Ad Hoc Committee set up by the Parliament.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Parliamentary Department Related Standing Committee</p><p>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Finance Commission</p><p>4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Financial Sector Legislative Reforms Commission</p><p>5.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; NITI Aayog</p><p>Select the correct answer using the code given below.</p><p>(a) 1 and 2</p><p>(b) 1, 3 and 4</p><p>(c) 3, 4 and 5</p><p>(d) 2 and 5</p></div>",a,Medium
19,19,"<div><p>With reference to India’s Five-Year Plans, which of the following statements is/are correct?</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; From the Second Five-Year Plan, there was a determined thrust towards substitution of basic and capital good industries.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; The Fourth Five-Year Plan adopted the objective of correcting the earlier trend of increased concentration of wealth and economic power.</p><p>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; In the Fifth Five-Year Plan, for the first time, the financial sector was included as an integral part of the Plan.</p><p>Select the correct answer using the code given below.</p><p>(a) 1 and 2 only</p><p>(b) 2 only</p><p>(c) 3 only</p><p>(d) 1, 2 and 3</p></div>",a,Difficult
20,20,"<div><p>With reference to the Constitution of India, consider the following statements:</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; No High Court shall have the jurisdiction to declare any central law to be constitutionally invalid.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; An amendment to the Constitution of India cannot be called into question by the Supreme Court of India.</p><p>Which of the statements give above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",d,Medium
21,21,"<div><p>Consider the following statements:</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Purchasing Power Parity (PPP) exchange rates are calculated by comparing the prices of the same basket of goods and services in different countries.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; In terms of PPP dollars, India is the sixth largest economy in the world.</p><p>Which of the statement given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",a,Easy
22,22,"<div><p>With reference to the cultivation of Kharif crops in which in the last five years consider the following statements:</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Area under rice cultivation is the highest.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Area under the cultivation of jowar is more than that of oilseeds.</p><p>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Area of cotton cultivation is more than that of sugarcane.</p><p>4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Area under sugarcane cultivation has steadily decreased.</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 and 3 only</p><p>(b) 2, 3 and 4 only</p><p>(c) 2 and 4 only</p><p>(d) 1, 2, 3 and 4</p></div>",a,Difficult
23,23,"<div><p>Among the agricultural commodities imported by India, which one of the following accounts for the highest imports in terms of value in the last five years?</p><p>(a) Spices</p><p>(b) Fresh fruits</p><p>(c) Pulses</p><p>(d) Vegetable oils</p></div>",d,Medium
24,24,"<div><p>In the context of polity, which one of the following would you accept as the most appropriate definition of liberty?</p><p>(a) Protection against the tyranny of political rulers</p><p>(b) Absence of restraint</p><p>(c) Opportunity to do whatever one likes</p><p>(d) Opportunity to develop oneself fully</p></div>",d,Medium
25,25,<div><p>Which one of the following is not the most likely measure the Government/ RBI takes to stop the slide of Indian rupee?</p><p>(a) Curbing imports of non-essential goods-and promoting exports</p><p>(b) Encouraging Indian borrowers to issue rupee denominated Masala Bonds</p><p>(c) Easing conditions relating to external commercial borrowing</p><p>(d) Following an expansionary monetary policy</p></div>,d,Easy
26,26,"<div><p>Consider the following statements:</p><p>The Reserve Bank of India’s recent directives relating to ‘Storage of Payment System Data’, popularly known as data diktat, command the payment system providers that</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; they shall ensure that entire data relating to payment systems operated by them are store in a system only in India.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; they shall ensure that the systems are owned and operated by public sector enterprises.</p><p>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; they shall submit the consolidated system audit report to the Comptroller and Auditor General of India by the end of the calendar year</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 1 and 2 only</p><p>(c) 3 only</p><p>(d) 1, 2 and 3</p></div>",a,Difficult
27,27,"<div><p>Which of the following adopted a law on data protection and privacy for its citizens known as ‘General Data Protection Regulation’ in April 2016 and started implementation of its from 25th May, 2018?</p><p>(a) Australia</p><p>(b) Canada</p><p>(c) The European Union</p><p>(d) The United States of America</p></div>",c,Easy
28,28,"<div><p>Recently, India signed a deal known as ‘Action Plan for Prioritization and Implementation of Cooperation Areas in the Nuclear Field’ with which of the following countries?</p><p>(a) Japan</p><p>(b) Russia</p><p>(c) The United Kingdom</p><p>(d) The United States of America</p></div>",b,Difficult
29,29,<div><p>The money multiplier in an economy increases with which one of the following?</p><p>(a) Increase in the cash reserve ratio</p><p>(b) Increase in the banking habit of the population</p><p>(c) Increase in the statutory liquidity ratio</p><p>(d) Increase in the population of the country</p></div>,b,Medium
30,30,"<div><p>Consider the following statements about Particularly Vulnerable Tribal Groups (PVTGs) in India:</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; PVTGs reside in 18 States and one Union Territory.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; A stagnant or declining population is one of the criteria for determining PVTG status.</p><p>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; There are 95 PVTGs officially notified in the country so far.</p><p>4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Irular and Konda Reddi tribes are included in the list of PVTGs.</p><p>Which of the statements given above are correct?</p><p>(a) 1, 2 and 3</p><p>(b) 2, 3 and 4</p><p>(c) 1, 2 and 4</p><p>(d) 1, 3 and 4</p></div>",c,Difficult
31,31,"<div><p>With reference to the Constitution of India, prohibition or limitations or provisions contained in ordinary laws cannot act as prohibitions or limitations on the constitutional powers under Article 142. It could mean which one of the following?</p><p>(a) The decisions taken by the Election Commission of India while discharging its duties cannot be challenged in any court of law.</p><p>(b) The Supreme Court of India is not constrained in the exercise of its powers by laws made by the Parliament.</p><p>(c) In the event of grave financial crisis in the country, the President of India can declare Financial Emergency without the counsel from the Cabinet.</p><p>(d) State Legislatures cannot make laws on certain matters without the concurrence of Union Legislature.</p></div>",b,Medium
32,32,"<div><p>With reference to the Legislative Assembly of a State in India, consider the following statements:</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; The Governor makes a customary address to Members of the House at the commencement of the first session of the year.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; When a State Legislature does not have a rule on a particular matter, it follows the Lok Sabha rule on that matter.</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",c,Difficult
33,33,"<div><p>Consider the following statements:</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; The United Nations Convention against Corruption (UNCAC) has a ‘Protocol against the Smuggling of Migrants by Land, Sea and Air’.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; The UNCAC is the ever-first legally binding global anti-corruption instrument.</p><p>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; A highlight of the United Nations Convention against Transnational Organized Crime (UNTOC) is the inclusion of a specific chapter aimed at returning assets to their rightful owners from whom they had been taken illicitly.</p><p>4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; The United Nations Office on Drugs and Crime (UNODC) is mandated by its members States to assist in the implementation of both UNCAC and UNTOC.</p><p>Which of the statements given above are correct?</p><p>(a) 1 and 3 only</p><p>(b) 2, 3 and 4 only</p><p>(c) 2 and 4 only</p><p>(d) 1, 2, 3 and 4</p></div>",c,Difficult
34,34,"<div><p>Consider the following statements:</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; As per recent amendment to the Indian Forest Act, 1927, forest dwellers have the right to fell the bamboos grown on forest areas.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; As per the Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forest Rights) Act, 2006, bamboo is a minor forest produce.</p><p>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; The Scheduled Tribes and Other Traditional Forest Dwellers (Recognition of Forests Rights) Act, 2006 allows ownership of minor forest produce to forest dwellers.</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 and 2 only</p><p>(b) 2 and 3 only</p><p>(c) 3 only</p><p>(d) 1, 2 and 3</p></div>",b,Medium
35,35,<div><p>Which Article of the Constitution of India safeguards one’s right to marry the person of one’s choice?</p><p>(a) Article 19</p><p>(b) Article 21</p><p>(c) Article 25</p><p>(d) Article 29</p></div>,b,Medium
36,36,"<div><p>Consider the following statements:</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; According to the Indian Patents Act, a biological process to create a seed can be patented in India.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; In India, there is no Intellectual Property Appellate Board.</p><p>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Plant varieties are not eligible in the patented in India.</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 and 3 only</p><p>(b) 2 and 3 only</p><p>(c) 3 only</p><p>(d) 1, 2 and 3</p></div>",c,Difficult
37,37,"<div><p>Consider the following statements:</p><p>The Environment Protection Act, 1986 empowers the Government of India to</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; state the requirement of public participation in the process of environmental protection, and the procedure and manner in which it is sought</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; lay down the standards for emission or discharge of environmental pollutants from various sources</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",b,Difficult
38,38,"<div><p>As per the Solid Waste Management Rules, 2016 in India, which one of the following statements is correct?</p><p>(a) Waste generator has to segregate waste five categories.</p><p>(b) The Rules are applicable to notified urban local bodies, notified towns and all industrial townships only.</p><p>(c) The Rules provide for exact and elaborate criteria for the identification of sites for landfills and waste processing facilities.</p><p>(d) It is mandatory the part of waste generator that the waste generated in one district cannot be moved to another district.</p></div>",c,Medium
39,39,"<div><p>Consider the following statements:</p><p>As per the Industrial Employment (Standing Orders) Central (Amendment) Rules, 2018</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; if rules for fixed-term employment are implemented, it becomes easier for the firms/companies to lay off workers</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; no notice of termination of employment shall be necessary in the case of temporary workman</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 only </p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",c,Medium
40,40,"<div><p>In the context of digital technologies for entertainment, consider the following statements:</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; In Augmented Reality (AR), a simulated environment is created and the physical world is completely shut out.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; In Virtual Reality (VR), images generated from a computer are projected onto real-life objects or surroundings.</p><p>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; AR allows individuals to be present in the world and improves the experience using the camera of smart-phones or PC.</p><p>4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; VR closes the world, and transposes an individual, providing complete immersion experience.</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 and 2 only</p><p>(b) 3 and 4</p><p>(c) 1, 2 and 3</p><p>(d) 4 only</p></div>",b,Difficult
41,41,<div><p>The word ‘Denisovan’ is sometimes mentioned in media in reference to </p><p>(a) fossils of a kind of dinosaurs</p><p>(b) an early human species</p><p>(c) a cave system found in North-East India</p><p>(d) a geological period in the history of Indian subcontinent</p></div>,b,Difficult
42,42,"<div><p>With reference to the recent developments in science, which one of the following statements is <em><strong>not</strong> </em>correct?</p><p>(a) Functional chromosomes can be created by joining segments of DNA taken from cells of different species.</p><p>(b) Pieces of artificial functional DNA can be created in laboratories.</p><p>(c) A piece of DNA taken out from an animal cell can be made to replicate outside a living cell in a laboratory.</p><p>(d) Cells taken out from plants and animals can be made to undergo cell division in laboratory petri dishes.&nbsp;&nbsp;</p></div>",a,Difficult
43,43,"<div><p>Consider the following statements:</p><p>A digital signature is</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; an electronic record that identifies the certifying authority issuing it</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; used to serve as a proof of identity of an individual to access information or serve on Internet</p><p>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; an electronic method of signing an electronic document and ensuring that the original content is unchanged</p><p>Which of the statements given above is/are correct?</p><p>(a) 1 only</p><p>(b) 2 and 3 only</p><p>(c) 3 only</p><p>(d) 1, 2 and 3</p></div>",c,Medium
44,44,"<div><p>In the context of wearable technology, which of the following tasks is/are accomplished by wearable devices?</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Location identification of a person</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Sleep monitoring of a person</p><p>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Assisting the hearing impaired person</p><p>Select the correct answer using the code given below.</p><p>(a) 1 only</p><p>(b) 2 and 3 only</p><p>(c) 3 only</p><p>(d) 1, 2 and 3</p></div>",d,Easy
45,45,"<div><p>‘RNA interference (RNAi)’ technology has gained popularity in the last few years. Why?</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; It is used in developing gene silencing therapies.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; It can be used in developing therapies for the treatment of cancer.</p><p>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; It can be used to develop hormone replacement therapies.</p><p>4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; It can be used to produce crop plants that are resistant to viral pathogens.</p><p>Select the correct answer using the code given below.</p><p>(a) 1, 2 and 4</p><p>(b) 2 and 3 </p><p>(c) 1 and 3</p><p>(d) 1 and 4 only</p></div>",a,Difficult
46,46,"<div><p>Recently, scientists observed the merger of giant ‘blackholes’ billions of light-years away from the Earth. What is the significance of this observation?</p><p>(a) ‘Higgs boson particles’ were detected.</p><p>(b) ‘Gravitational waves’ were detected.</p><p>(c) Possibility of inter-galactic space travel through ‘wormhole’ was confirmed.</p><p>(d) It enabled the scientists to understand ‘singularity’.</p></div>",b,Medium
47,47,"<div><p>Which of the following are the reasons for the occurrence of multi-drug resistance in microbial pathogens in India?</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Genetic predisposition of some people</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Taking incorrect doses of antibiotics to cure diseases</p><p>3.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Using antibiotics in livestock farming</p><p>4.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Multiple chronic diseases in some people</p><p>Select the correct answer using the code given below.</p><p>(a) 1 and 2</p><p>(b) 2 and 3 only</p><p>(c) 1, 3 and 4</p><p>(d) 2, 3 and 4</p></div>",b,Medium
48,48,<div><p>What is Cas9 protein that is often mentioned in news?</p><p>(a) A molecular scissors used in targeted gene editing</p><p>(b) A biosensor used in the accurate detection of pathogens in patients</p><p>(c) A gene that makes plants pest-resistant</p><p>(d) A herbicidal substance synthesized in genetically modified crops</p></div>,a,Easy
49,49,"<div><p>Which one of the following statements is <em><strong>not</strong></em> correct?&nbsp;&nbsp;</p><p>(a) Hepatitis B virus is transmitted much like HIV.</p><p>(b) Hepatitis B, unlike Hepatitis C, does not have a vaccine.</p><p>(c) Globally, the number of people infected with Hepatitis B and C viruses are several times more than those infected with HIV.</p><p>(d) Some of those infected with Hepatitis B and C viruses do not show the symptoms for many years.</p></div>",b,Medium
50,50,"<div><p>With reference to Mughal India, what is/are the difference/differences between Jagirdar and Zamindar?</p><p>1.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Jagirdars were holders or land assignments in lieu of judicial and police duties, whereas Zamindars were holders of revenue rights without obligation to perform any duty other than revenue collection.</p><p>2.&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Land assignments to Jagirdars were hereditary and revenue rights or Zamindars were not hereditary.</p><p>Select the correct answer using the code given below.</p><p>(a) 1 only</p><p>(b) 2 only</p><p>(c) Both 1 and 2</p><p>(d) Neither 1 nor 2</p></div>",d,Difficult
51,51,"<div><p>With reference to land reforms in independent India, which one of the following statements is correct?</p><p>(a) The ceiling laws were aimed at family holdings and not individual holdings.</p><p>(b) The major aim of land reforms was providing agricultural land to all the landless.</p><p>(c) It resulted in cultivation of cash crops as a predominant form of cultivation.</p><p>(d) Land reforms permitted no exemptions to the ceiling limits.</p></div>",b,Difficult
52,52,<div><p>The Global Competitiveness Report is published by the</p><p>(a) International Monetary Fund</p><p>(b) United Nations Conference on Trade and Development</p><p>(c) World Economic Forum</p><p>(d) World Bank</p></div>,c,Easy
